snr_db,rvq_baseline_mean,rvq_baseline_std,rvq_distill_mean,rvq_distill_std,delta_mean
-5,5.0333,0.4726,6.6667,0.7572,+1.6334
-2,10.4333,0.6110,18.8667,2.6764,+8.4334
0,22.9333,1.9140,48.3333,3.6501,+25.4000
2,41.3667,0.3786,72.0667,1.0263,+30.7000
5,54.2667,0.6028,81.1000,0.5292,+26.8333
7,55.9667,1.4978,82.6333,0.8145,+26.6666
10,56.1333,1.5308,82.7000,0.8544,+26.5667
12,56.1333,1.5308,82.7000,0.8544,+26.5667
15,56.1333,1.5308,82.7000,0.8544,+26.5667
20,56.1333,1.5308,82.7000,0.8544,+26.5667
