snr_db,rvq_baseline_mean,rvq_baseline_std,rvq_distill_mean,rvq_distill_std,delta_mean
-5,3.7333,0.4509,5.0000,0.8544,+1.2667
-2,5.7000,0.2646,7.7667,0.5508,+2.0667
0,8.6667,0.2517,14.7667,2.1008,+6.1000
2,13.2667,1.2662,29.1667,2.1733,+15.9000
5,28.8667,1.6166,58.8333,2.6858,+29.9666
7,39.9000,0.7810,69.2667,1.1015,+29.3667
10,47.6333,0.9074,77.7333,0.6429,+30.1000
12,50.4000,0.2646,79.8667,1.1930,+29.4667
15,53.3667,0.2517,81.8667,1.5275,+28.5000
20,55.5000,1.8083,81.7000,0.7937,+26.2000
