snr_db,rvq_baseline_mean,rvq_baseline_std,rvq_distill_mean,rvq_distill_std,delta_mean
-5,13.1730,0.0748,13.4770,0.0812,+0.3040
-2,14.2111,0.0618,14.5163,0.0712,+0.3052
0,15.8405,0.1061,16.1418,0.0663,+0.3013
2,18.6058,0.0957,18.8887,0.1056,+0.2829
5,23.8724,0.0647,23.9298,0.0853,+0.0574
7,25.7694,0.0206,25.6183,0.0673,-0.1511
10,26.1241,0.0205,25.9205,0.0775,-0.2036
12,26.1262,0.0217,25.9216,0.0774,-0.2046
15,26.1261,0.0218,25.9216,0.0774,-0.2045
20,26.1261,0.0217,25.9213,0.0777,-0.2048
