snr_db,rvq_baseline_mean,rvq_baseline_std,rvq_distill_mean,rvq_distill_std,delta_mean
-5,12.9426,0.0786,13.2497,0.1217,+0.3071
-2,13.3794,0.0590,13.6568,0.0847,+0.2774
0,13.9059,0.0838,14.2332,0.0855,+0.3273
2,14.7508,0.0723,15.0799,0.0817,+0.3291
5,16.5710,0.0883,16.8877,0.1033,+0.3167
7,18.0328,0.1068,18.3464,0.1001,+0.3136
10,20.3095,0.0940,20.5559,0.0750,+0.2464
12,21.6989,0.1140,21.8685,0.0737,+0.1696
15,23.3732,0.0754,23.4628,0.0883,+0.0896
20,25.0481,0.0144,24.9870,0.0563,-0.0611
